,Air_Temp_DEGC,Soil_Temp_DEGC,Soil_Classification,Crop,Fert_Ammend_Class,target
6447,0.0,0.0,4.0,4.0,3.0,0.0
5485,0.0,0.0,4.0,0.0,3.0,0.0
4835,0.0,14.66666667,3.0,1.0,1.0,14840.0
4578,0.0,16.94444444,8.0,1.0,3.0,17802.668999999998
7390,0.0,0.0,4.0,3.0,1.0,0.0
1811,11.5,0.0,1.0,1.0,3.0,2244.064883
4096,0.0,0.0,2.0,0.0,3.0,26374.71936
1059,12.7375,2.05,7.0,3.0,2.0,1808.146197
2850,23.03333333,21.9,2.0,0.0,3.0,17854.21113
2228,8.68,0.0,1.0,1.0,3.0,1386.492482
4886,27.1,24.0,5.0,0.0,3.0,66367.34102
948,0.0,0.0,6.0,0.0,1.0,1158.123387
2950,0.0,0.0,2.0,0.0,3.0,10980.34001
2263,16.43,0.0,1.0,1.0,3.0,4540.516036
2690,18.13333333,17.875,2.0,0.0,3.0,17737.89301
6669,0.0,0.0,4.0,3.0,1.0,0.0
5393,0.0,0.0,4.0,4.0,3.0,0.0
4232,0.0,23.16666667,8.0,2.0,3.0,14833.248
7668,0.0,0.0,4.0,3.0,1.0,0.0
4704,0.0,16.44444444,8.0,1.0,3.0,5293.4038
1186,12.2875,1.3,7.0,3.0,2.0,2332.638675
6802,0.0,0.0,4.0,3.0,1.0,0.0
3485,23.3,19.525,2.0,0.0,1.0,27625.59343
2804,0.0,0.0,2.0,0.0,3.0,10755.36627
2247,12.99,0.0,1.0,1.0,3.0,1725.139802
2830,20.13333333,18.975,2.0,0.0,3.0,24773.88605
4040,0.0,0.0,2.0,0.0,3.0,20054.83708
4097,25.73333333,24.275,2.0,0.0,3.0,26738.68752
5099,17.30357143,0.2,5.0,0.0,3.0,5727.74275
2649,0.0,0.0,2.0,0.0,3.0,16589.521
757,0.0,0.0,6.0,0.0,0.0,1394.300507
3953,0.0,0.0,2.0,0.0,3.0,22842.97262
3082,25.73333333,24.275,2.0,0.0,3.0,14958.9418
6933,0.0,0.0,4.0,3.0,1.0,0.0
3111,0.0,0.0,2.0,0.0,3.0,18660.83266
7271,0.0,0.0,4.0,3.0,1.0,0.0
2615,23.3,19.525,2.0,0.0,3.0,37328.03626
2074,10.21,0.0,1.0,1.0,3.0,2932.122988
6072,0.0,0.0,4.0,4.0,3.0,0.0
2993,0.0,0.0,2.0,0.0,3.0,16711.52506
4468,0.0,10.0,8.0,1.0,3.0,4176.5594
968,0.0,0.0,6.0,0.0,1.0,880.6823122999998
6596,0.0,0.0,4.0,3.0,1.0,0.0
4191,23.2,21.85,2.0,0.0,3.0,24201.11677
5322,0.0,0.0,4.0,4.0,3.0,0.0
5050,5.13888889,0.3,5.0,0.0,3.0,928.0787075
7337,0.0,0.0,4.0,3.0,1.0,0.0
2986,0.0,0.0,2.0,0.0,3.0,18075.2559
7487,0.0,0.0,4.0,3.0,1.0,0.0
2236,12.31,0.0,1.0,1.0,2.0,2729.073972
4509,0.0,13.05555556,8.0,1.0,3.0,7853.9986
6208,0.0,0.0,4.0,4.0,3.0,0.0
4121,0.0,0.0,2.0,0.0,3.0,22013.98419
1115,10.325,6.45,7.0,3.0,2.0,9462.052879
2198,9.35,0.0,1.0,1.0,3.0,2181.225856
6844,0.0,0.0,4.0,3.0,1.0,0.0
7383,0.0,0.0,4.0,3.0,1.0,0.0
462,0.0,0.0,6.0,0.0,1.0,1461.162435
5125,11.63333333,8.6,5.0,0.0,3.0,6908.335014
6021,0.0,0.0,4.0,4.0,3.0,0.0
4150,0.0,0.0,2.0,0.0,3.0,18958.472380000007
4795,0.0,15.72222222,8.0,2.0,3.0,6406.2252
781,0.0,0.0,6.0,0.0,0.0,1033.9268029999996
3526,0.0,0.0,2.0,0.0,1.0,16095.22875
5085,-5.44183673,0.0,5.0,0.0,3.0,532.8104796
3546,0.0,0.0,2.0,0.0,1.0,19269.83699
3868,19.6,21.0,2.0,0.0,3.0,18896.48769
798,0.0,0.0,6.0,0.0,0.0,1116.438229
5309,0.0,0.0,4.0,0.0,3.0,0.0
3594,0.0,0.0,2.0,0.0,2.0,31096.94322
4727,0.0,20.72222222,8.0,1.0,3.0,10181.5872
56,0.0,0.0,6.0,0.0,1.0,624.1258591
3936,25.16666667,22.45,2.0,0.0,3.0,31814.45214
7321,0.0,0.0,4.0,3.0,1.0,0.0
1909,24.03,0.0,1.0,1.0,3.0,11408.69873
4799,0.0,7.16666667,8.0,1.0,3.0,5118.597
5360,0.0,0.0,0.0,0.0,3.0,0.0
5551,0.0,0.0,0.0,0.0,3.0,0.0
5127,11.75138889,8.4,5.0,0.0,3.0,8324.349904
6882,0.0,0.0,4.0,3.0,1.0,0.0
664,0.0,0.0,6.0,0.0,1.0,983.2371648
2415,12.9,0.0,1.0,1.0,2.0,4087.559734
3423,0.0,0.0,2.0,0.0,1.0,15330.08096
4318,0.0,16.11111111,8.0,1.0,3.0,17776.892
1962,23.98,0.0,1.0,1.0,2.0,9202.950367
4415,0.0,5.61111111,8.0,1.0,3.0,6591.5067
2326,25.6,0.0,1.0,0.0,3.0,12394.11885
6331,0.0,0.0,4.0,4.0,3.0,0.0
4047,0.0,0.0,2.0,0.0,3.0,32453.95237
2646,0.0,0.0,2.0,0.0,3.0,20388.547280000006
4670,0.0,17.11111111,8.0,1.0,3.0,12338.094
1258,27.7375,25.85,7.0,3.0,1.0,8095.0785620000015
3806,0.0,0.0,2.0,0.0,2.0,27788.24819
469,0.0,0.0,6.0,0.0,1.0,1206.273473
6976,0.0,0.0,4.0,3.0,1.0,0.0
5789,0.0,0.0,4.0,0.0,1.0,0.0
407,0.0,0.0,6.0,0.0,3.0,1331.831227
6788,0.0,0.0,4.0,3.0,1.0,0.0
5246,0.0,0.0,4.0,0.0,3.0,0.0
3318,0.0,0.0,2.0,0.0,3.0,28695.98753
4225,0.0,20.55555556,8.0,1.0,3.0,4675.918
426,11.85,0.0,6.0,0.0,3.0,3504.189013
7244,0.0,0.0,4.0,3.0,1.0,0.0
4076,23.23333333,22.65,2.0,0.0,3.0,35050.131669999995
4408,0.0,6.83333333,8.0,2.0,3.0,16542.874
5576,0.0,0.0,4.0,0.0,3.0,0.0
2192,7.745,0.0,1.0,1.0,3.0,1464.800576
5894,0.0,0.0,4.0,4.0,3.0,0.0
7705,0.0,0.0,4.0,3.0,1.0,0.0
7534,0.0,0.0,4.0,3.0,1.0,0.0
7656,0.0,0.0,4.0,3.0,1.0,0.0
4302,0.0,18.38888889,8.0,1.0,3.0,7265.835999999998
1761,10.63,0.0,1.0,1.0,2.0,2423.470541
3275,0.0,0.0,2.0,0.0,3.0,27281.96435
33,0.0,0.0,6.0,0.0,1.0,513.2757962000002
4210,23.3,19.525,2.0,0.0,3.0,28349.46732
7282,0.0,0.0,4.0,3.0,1.0,0.0
5043,-8.5,-0.5,5.0,0.0,3.0,1570.214012
4971,16.9,11.0,5.0,0.0,3.0,12093.18
4803,0.0,7.66666667,8.0,1.0,3.0,3517.7857
1367,29.9375,26.85,7.0,3.0,1.0,22852.02011
6811,0.0,0.0,4.0,3.0,1.0,0.0
5421,0.0,0.0,4.0,0.0,3.0,0.0
2578,0.0,0.0,2.0,0.0,3.0,30035.62747
4445,0.0,11.33333333,8.0,1.0,3.0,11279.4788
4636,0.0,16.88888889,8.0,1.0,3.0,11368.7745
4951,11.0,12.0,5.0,0.0,3.0,20417.61388
2527,4.1,0.0,1.0,1.0,2.0,0.0
5860,0.0,0.0,4.0,4.0,3.0,0.0
2439,12.97,0.0,1.0,1.0,2.0,5784.729733
7844,0.0,0.0,4.0,3.0,1.0,0.0
2560,23.03333333,21.9,2.0,0.0,3.0,19676.179330000006
1416,17.85,8.4,7.0,3.0,1.0,4949.968898
2920,0.0,0.0,2.0,0.0,3.0,28272.24423
5840,0.0,0.0,4.0,0.0,1.0,0.0
460,0.0,0.0,6.0,0.0,1.0,1538.656563
6766,0.0,0.0,4.0,3.0,1.0,0.0
7217,0.0,0.0,4.0,3.0,1.0,0.0
1763,10.63,0.0,1.0,1.0,2.0,1664.691328
4927,25.9,21.0,5.0,0.0,3.0,36290.03543
7405,0.0,0.0,4.0,3.0,1.0,0.0
7582,0.0,0.0,4.0,3.0,1.0,0.0
3692,0.0,0.0,2.0,0.0,2.0,18483.43469
1815,11.5,0.0,1.0,1.0,3.0,2204.243883
6187,0.0,0.0,4.0,0.0,1.0,0.0
5379,0.0,0.0,4.0,4.0,3.0,0.0
3633,25.66666667,21.0,2.0,0.0,2.0,27186.75482
4590,0.0,17.83333333,8.0,1.0,3.0,2421.3692
77,0.0,0.0,6.0,0.0,1.0,1131.322566
7846,0.0,0.0,4.0,3.0,1.0,0.0
5240,0.0,0.0,4.0,0.0,3.0,0.0
4036,0.0,0.0,2.0,0.0,3.0,32880.097689999995
2463,7.006,0.0,1.0,1.0,1.0,4370.555595000002
3591,0.0,0.0,2.0,0.0,2.0,28690.50897
3004,0.0,0.0,2.0,0.0,3.0,24289.70963
7316,0.0,0.0,4.0,3.0,1.0,0.0
5934,0.0,0.0,4.0,4.0,3.0,0.0
4857,0.0,0.0,3.0,1.0,1.0,1760.0
2652,28.36666667,22.075,2.0,0.0,3.0,15458.48619
1022,23.2625,21.9,7.0,3.0,2.0,25920.40576
1365,24.5625,22.55,7.0,3.0,1.0,21868.62121
6488,0.0,0.0,4.0,4.0,3.0,0.0
4354,0.0,9.88888889,8.0,1.0,3.0,8952.218
3116,0.0,0.0,2.0,0.0,3.0,40075.17753
6012,0.0,0.0,4.0,4.0,3.0,0.0
596,0.0,0.0,6.0,0.0,3.0,331.9565497
6850,0.0,0.0,4.0,3.0,1.0,0.0
6646,0.0,0.0,4.0,3.0,1.0,0.0
4453,0.0,7.72222222,8.0,1.0,3.0,3933.6
7719,0.0,0.0,4.0,3.0,1.0,0.0
812,0.0,0.0,6.0,0.0,0.0,1361.525169
387,0.0,0.0,6.0,0.0,3.0,1490.19083
